,Old_name,New_name,Extent,Model
0,35_initial_1_1305_1305.JPG,1305_SV_W_V_G_0_0.jpg,0.15359508,Testing
1,35_repeat_2_1305_240_148.JPG,1305_SV_W_V_G_0_1.jpg,1.1248751,Training
2,35_repeat_2_1305_288_199.JPG,1305_SV_W_V_G_0_2.jpg,1.0324767,Testing
3,35_repeat_2_1305_893_570.JPG,1305_SV_W_F_G_0_3.jpg,0.10177083,Training
4,35_repeat_2_1305_1026_703.JPG,1305_SV_W_F_G_0_4.jpg,0.011403393,Training
5,35_repeat_2_1305_1255_959.JPG,1305_SV_W_F_G_0_5.jpg,0.07697418,Testing
6,35_repeat_2_1305_2538_1550.JPG,1305_SV_W_F_G_0_6.jpg,0.30890638,Training
7,35_repeat_2_1305_3190_2010.JPG,1305_SV_W_F_G_0_7.jpg,1.5579778,Training
8,35_repeat_2_1305_3322_2128.JPG,1305_SV_W_F_G_0_8.jpg,0.5562514,Testing
9,35_repeat_2_1305_3639_2381.JPG,1305_SV_W_F_G_0_9.jpg,0.43935716,Testing
10,35_repeat_2_1305_4456_2925.JPG,1305_SV_W_F_G_0_10.jpg,1.1259516,Training
11,35_repeat_2_1305_5005_3373.JPG,1305_SV_W_F_G_0_11.jpg,1.4120724,Training
12,35_repeat_2_1305_5460_3844.JPG,1305_SV_W_M_DR_10_12.jpg,1.9622128,Testing
13,35_repeat_2_1305_5844_4225.JPG,1305_SV_W_M_DR_50_13.jpg,49.999355,Training
14,35_repeat_2_1305_6097_4468.JPG,1305_SV_W_M_DR_70_14.jpg,67.83777,Testing
15,35_repeat_2_1305_6246_4614.JPG,1305_SV_W_M_DR_70_15.jpg,69.05129,Training
16,101_initial_1_1309_1309.JPG,1309_SV_W_V_G_0_16.jpg,0.4649317,Training
17,101_repeat_2_1309_295_209.JPG,1309_SV_W_V_G_0_17.jpg,-0.88331074,Training
18,101_repeat_2_1309_407_282.JPG,1309_SV_W_V_G_0_18.jpg,-0.34752935,Testing
19,101_repeat_2_1309_415_287.JPG,1309_SV_W_V_G_0_19.jpg,0.4862028,Testing
20,101_repeat_2_1309_1064_744.JPG,1309_SV_W_F_G_0_20.jpg,-0.39851266,Testing
21,101_repeat_2_1309_1068_746.JPG,1309_SV_W_M_G_0_21.jpg,0.19597597,Training
22,101_repeat_2_1309_1087_777.JPG,1309_SV_W_F_G_0_22.jpg,-0.4467261,Testing
23,101_repeat_2_1309_1689_1259.JPG,1309_SV_W_F_G_0_23.jpg,-0.40130812,Training
24,101_repeat_2_1309_3529_2268.JPG,1309_SV_W_F_G_0_24.jpg,-0.19881473,Testing
25,101_repeat_2_1309_4760_3132.JPG,1309_SV_W_F_G_0_25.jpg,-0.15320861,Training
26,101_repeat_2_1309_5365_3739.JPG,1309_SV_W_M_DR_10_26.jpg,5.792745,Training
27,101_initial_1_1310_1310.JPG,1310_SV_W_V_G_0_27.jpg,0.08061007,Testing
28,101_repeat_2_1310_98_62.JPG,1310_SV_W_V_G_0_28.jpg,0.13333005,Testing
29,101_repeat_2_1310_99_63.JPG,1310_SV_W_V_G_0_29.jpg,-0.20102961,Testing
30,101_repeat_2_1310_100_64.JPG,1310_SV_W_V_G_0_30.jpg,-1.1224107,Testing
31,101_repeat_2_1310_102_66.JPG,1310_SV_W_V_G_0_31.jpg,-0.72711426,Testing
32,101_repeat_2_1310_112_67.JPG,1310_SV_W_V_G_0_32.jpg,-0.0482752,Testing
33,101_repeat_2_1310_297_211.JPG,1310_SV_W_V_G_0_33.jpg,-0.70330447,Training
34,101_repeat_2_1310_405_280.JPG,1310_SV_W_V_G_0_34.jpg,0.17477325,Testing
35,101_repeat_2_1310_418_290.JPG,1310_SV_W_F_G_0_35.jpg,0.3591967,Testing
36,101_repeat_2_1310_1063_743.JPG,1310_SV_W_F_G_0_36.jpg,0.4354668,Testing
37,101_repeat_2_1310_1067_745.JPG,1310_SV_W_F_G_0_37.jpg,1.7405725,Training
38,101_repeat_2_1310_1089_781.JPG,1310_SV_W_F_G_0_38.jpg,0.14862064,Testing
39,101_repeat_2_1310_1690_1260.JPG,1310_SV_W_F_G_0_39.jpg,0.47669405,Training
40,101_repeat_2_1310_2757_1728.JPG,1310_SV_W_F_G_0_40.jpg,0.7763496,Training
41,101_repeat_2_1310_3528_2267.JPG,1310_SV_W_F_G_0_41.jpg,-0.18359526,Testing
42,101_repeat_2_1310_4759_3131.JPG,1310_SV_W_M_DR_10_42.jpg,0.2182006,Testing
43,101_repeat_2_1310_5364_3738.JPG,1310_SV_W_M_DR_10_43.jpg,20.00535,Testing
44,225_initial_1_1312_1312.JPG,1312_SV_W_V_G_0_44.jpg,0.4304011,Training
45,225_repeat_2_1312_2542_1557.JPG,1312_SV_W_F_DR_30_48.jpg,21.122799,Training
46,225_repeat_2_1312_3210_2036.JPG,1312_SV_W_M_DR_20_49.jpg,6.8638644,Training
47,225_repeat_2_1312_3217_2052.JPG,1312_SV_W_M_DR_20_50.jpg,19.678377,Training
48,225_repeat_2_1312_3978_2555.JPG,1312_SV_W_M_DR_20_51.jpg,62.824196,Training
49,225_repeat_2_1312_5203_3543.JPG,1312_SV_W_M_DR_80_52.jpg,76.9329,Testing
50,225_repeat_2_1312_5206_3557.JPG,1312_SV_W_M_DR_70_53.jpg,70.745926,Training
51,225_repeat_2_1312_5620_3973.JPG,1312_SV_W_M_DR_80_54.jpg,69.1229,Training
52,225_repeat_2_1312_5962_4316.JPG,1312_SV_W_M_DR_80_55.jpg,78.262505,Training
53,196_initial_1_1323_1323.JPG,1323_SV_W_V_G_0_56.jpg,-0.08707391,Testing
54,196_repeat_2_1323_976_650.JPG,1323_SV_W_V_G_0_57.jpg,-0.37090752,Training
55,196_repeat_2_1323_1694_1264.JPG,1323_SV_W_F_G_0_58.jpg,1.0295666,Training
56,196_repeat_2_1323_3254_2090.JPG,1323_SV_W_F_G_0_59.jpg,-0.6073644,Training
57,196_repeat_2_1323_3915_2480.JPG,1323_SV_W_F_G_0_60.jpg,-0.2060757,Testing
58,196_repeat_2_1323_4092_2660.JPG,1323_SV_W_F_G_0_61.jpg,-0.16095936,Testing
59,196_repeat_2_1323_4734_3101.JPG,1323_SV_W_F_G_0_62.jpg,-1.794377,Training
60,196_repeat_2_1323_5628_3995.JPG,1323_SV_W_F_G_0_63.jpg,0.36348248,Training
61,196_repeat_2_1323_5639_4008.JPG,1323_SV_W_F_G_0_64.jpg,0.16714619,Testing
62,196_repeat_2_1323_6158_4521.JPG,1323_SV_W_F_G_0_65.jpg,0.26199892,Training
63,196_repeat_2_1323_6285_4648.JPG,1323_SV_W_F_G_0_66.jpg,0.40336898,Testing
64,196_repeat_2_1323_6292_4659.JPG,1323_SV_W_M_G_0_67.jpg,1.1537253,Testing
65,179_initial_1_1332_1332.JPG,1332_SV_W_V_G_0_68.jpg,-0.3081481,Training
66,179_repeat_2_1332_522_379.JPG,1332_SV_W_F_G_0_69.jpg,-0.3172164,Testing
67,179_repeat_2_1332_654_458.JPG,1332_SV_W_F_G_0_70.jpg,60.484344,Testing
68,179_repeat_2_1332_3932_2506.JPG,1332_SV_W_M_DR_80_74.jpg,64.09305,Testing
69,179_repeat_2_1332_5128_3448.JPG,1332_SV_W_M_DR_80_75.jpg,69.698425,Testing
70,196_initial_1_1336_1336.JPG,1336_SV_W_V_G_0_76.jpg,0.28764206,Testing
71,196_repeat_2_1336_2612_1639.JPG,1336_SV_W_F_G_0_77.jpg,-0.6933245,Training
