,Old_name,New_name,Sowing,Vegetative,Flowering,Maturity,Model
0,35_initial_1_1305_1305.JPG,1305_SV_W_V_G_0_0.jpg,0.044356022,0.73218995,0.043694004,0.17976002,Testing
1,35_repeat_2_1305_240_148.JPG,1305_SV_W_V_G_0_1.jpg,3.08E-06,0.9994118,0.000578669,6.47E-06,Training
2,35_repeat_2_1305_288_199.JPG,1305_SV_W_V_G_0_2.jpg,1.32E-06,0.99827266,0.001676401,4.97E-05,Testing
3,35_repeat_2_1305_893_570.JPG,1305_SV_W_F_G_0_3.jpg,2.56E-06,0.004387347,0.99453753,0.001072582,Testing
4,35_repeat_2_1305_1026_703.JPG,1305_SV_W_F_G_0_4.jpg,5.99E-06,0.028140921,0.96758044,0.004272624,Training
5,35_repeat_2_1305_1255_959.JPG,1305_SV_W_F_G_0_5.jpg,0.000174936,0.01209278,0.7076032,0.28012905,Testing
6,35_repeat_2_1305_2538_1550.JPG,1305_SV_W_F_G_0_6.jpg,2.10E-06,0.000139472,0.9725878,0.027270563,Testing
7,35_repeat_2_1305_3190_2010.JPG,1305_SV_W_F_G_0_7.jpg,3.79E-05,0.656211,0.33219156,0.011559606,Testing
8,35_repeat_2_1305_3322_2128.JPG,1305_SV_W_F_G_0_8.jpg,5.94E-05,0.13556352,0.46104148,0.4033356,Testing
9,35_repeat_2_1305_3639_2381.JPG,1305_SV_W_F_G_0_9.jpg,1.73E-05,0.001021772,0.22521794,0.773743,Testing
10,35_repeat_2_1305_4456_2925.JPG,1305_SV_W_F_G_0_10.jpg,3.02E-05,0.48577684,0.105682075,0.40851092,Training
11,35_repeat_2_1305_5005_3373.JPG,1305_SV_W_F_G_0_11.jpg,7.08E-05,0.04666181,0.7660345,0.18723284,Training
12,35_repeat_2_1305_5460_3844.JPG,1305_SV_W_M_DR_10_12.jpg,2.14E-05,0.001004399,0.024524936,0.9744493,Training
13,35_repeat_2_1305_5844_4225.JPG,1305_SV_W_M_DR_50_13.jpg,2.49E-05,0.000721939,0.002093672,0.9971595,Testing
14,35_repeat_2_1305_6097_4468.JPG,1305_SV_W_M_DR_70_14.jpg,3.68E-05,0.000189778,0.000145039,0.9996284,Testing
15,35_repeat_2_1305_6246_4614.JPG,1305_SV_W_M_DR_70_15.jpg,1.08E-05,3.55E-05,0.001191935,0.9987618,Testing
16,101_initial_1_1309_1309.JPG,1309_SV_W_V_G_0_16.jpg,2.34E-07,0.99987066,0.000125164,3.92E-06,Training
17,101_repeat_2_1309_295_209.JPG,1309_SV_W_V_G_0_17.jpg,6.25E-06,0.97754216,0.022409722,4.18E-05,Training
18,101_repeat_2_1309_407_282.JPG,1309_SV_W_V_G_0_18.jpg,2.98E-05,0.99465275,0.005290108,2.73E-05,Testing
