S.No,filename,X,Y,Height,Width,View,Zoom,Rotate,Stage,Damage,Extent,Site_id,New_name
0,L1116F01732C01S01549Ip.jpg,71,284,556,184,SV,W,N,V,WD,10,1549,1549_SV_W_V_WD_10_0.jpg
1,L1116F01732C01S01549Rp00899.jpg,135,204,494,263,SV,W,N,V,WD,10,1549,1549_SV_W_V_WD_10_1.jpg
2,L1116F01732C01S01549Rp00900.jpg,117,242,508,228,SV,W,N,V,WD,10,1549,1549_SV_W_V_WD_10_2.jpg
3,L1116F01732C01S01549Rp00901.jpg,93,210,538,258,SV,W,N,V,WD,20,1549,1549_SV_W_V_WD_20_3.jpg
4,L1116F01732C01S01549Rp03106.jpg,207,207,420,263,SV,W,N,F,WD,20,1549,1549_SV_W_F_WD_20_4.jpg
5,L354F00182C01S01550Rp00295.jpg,16,194,611,276,SV,W,N,V,WD,10,1550,1550_SV_W_V_WD_10_5.jpg
6,L354F00182C01S01550Rp05912.jpg,24,123,601,351,SV,W,N,V,WD,10,1550,1550_SV_W_V_WD_10_6.jpg
7,L354F00182C01S01550Rp07067.jpg,16,50,613,421,SV,W,N,V,WD,10,1550,1550_SV_W_V_WD_10_7.jpg
8,L354F03934C01S01552Rp00297.jpg,7,201,617,263,SV,W,N,V,WD,10,1552,1552_SV_W_V_WD_10_8.jpg
9,L354F03934C01S01552Rp05917.jpg,20,125,604,342,SV,W,N,V,WD,10,1552,1552_SV_W_V_WD_10_9.jpg
10,L354F03934C01S01552Rp07069.jpg,12,140,617,330,SV,W,N,V,WD,10,1552,1552_SV_W_V_WD_10_10.jpg
11,L1095F00967C01S01556Ip.jpg,14,158,612,313,SV,W,N,V,G,0,1556,1556_SV_W_V_G_0_11.jpg
12,L1095F00967C01S01556Rp01273.jpg,6,15,622,448,SV,W,N,F,G,0,1556,1556_SV_W_F_G_0_12.jpg
13,L1095F00967C01S01556Rp07251.jpg,20,37,605,432,SV,W,N,M,DR,20,1556,1556_SV_W_M_DR_20_13.jpg
14,L1095F00967C01S01556Rp07255.jpg,1,12,620,448,SV,W,N,M,DR,20,1556,1556_SV_W_M_DR_20_14.jpg
15,L1133F00048C01S01562Ip.jpg,9,182,608,286,SV,W,N,V,G,0,1562,1562_SV_W_V_G_0_15.jpg
16,L1133F00048C01S01562Rp00292.jpg,29,79,593,353,SV,W,N,F,WD,10,1562,1562_SV_W_F_WD_10_16.jpg
17,L1133F00048C01S01562Rp00918.jpg,15,70,604,395,SV,W,N,M,DR,10,1562,1562_SV_W_M_DR_10_17.jpg
18,L1133F00048C01S01562Rp01909.jpg,12,25,609,440,SV,W,N,M,DR,10,1562,1562_SV_W_M_DR_10_18.jpg
19,L1133F00048C01S01562Rp03159.jpg,27,51,601,420,SV,W,N,M,DR,10,1562,1562_SV_W_M_DR_10_19.jpg
20,L1133F00048C01S01562Rp04523.jpg,23,34,604,434,SV,W,N,M,DR,10,1562,1562_SV_W_M_DR_10_20.jpg
21,L1133F00048C01S01562Rp06767.jpg,9,75,625,304,SV,W,N,M,DR,40,1562,1562_SV_W_M_DR_40_21.jpg
22,L144F01278C01S01563Rp01355.jpg,17,189,596,277,SV,W,N,V,WD,10,1563,1563_SV_W_V_WD_10_22.jpg
23,L144F01278C01S01563Rp02460.jpg,13,180,559,286,SV,W,N,V,WD,10,1563,1563_SV_W_V_WD_10_23.jpg
24,L144F01278C01S01563Rp03773.jpg,12,222,601,248,SV,W,N,V,WD,10,1563,1563_SV_W_V_WD_10_24.jpg
25,L144F01278C01S01563Rp04903.jpg,23,189,600,278,SV,W,N,F,G,0,1563,1563_SV_W_F_G_0_25.jpg
26,L144F01278C01S01563Rp06973.jpg,13,138,616,322,SV,W,N,F,G,0,1563,1563_SV_W_F_G_0_26.jpg
27,L144F01278C01S01563Rp08054.jpg,30,204,588,264,SV,W,N,M,DR,10,1563,1563_SV_W_M_DR_10_27.jpg
28,L144F01278C01S01563Rp09018.jpg,17,30,556,430,SV,W,N,F,G,0,1563,1563_SV_W_F_G_0_28.jpg
29,L144F01278C01S01563Rp10561.jpg,15,20,570,443,SV,W,N,F,G,0,1563,1563_SV_W_F_G_0_29.jpg
30,L144F01278C01S01563Rp11788.jpg,79,150,509,306,SV,W,N,M,DR,20,1563,1563_SV_W_M_DR_20_30.jpg
31,L144F01278C01S01563Rp12346.jpg,59,148,545,313,SV,W,N,M,DR,30,1563,1563_SV_W_M_DR_30_31.jpg
32,L144F01278C01S01563Rp13670.jpg,68,126,557,332,SV,W,N,M,DR,80,1563,1563_SV_W_M_DR_80_32.jpg
33,L144F01278C01S01563Rp13860.jpg,25,108,596,268,SV,W,N,M,DR,80,1563,1563_SV_W_M_DR_80_33.jpg
34,L1139F00045C01S01572Ip.jpg,19,48,600,418,SV,W,N,M,G,0,1572,1572_SV_W_M_G_0_34.jpg
35,L1139F00045C01S01572Rp01818.jpg,13,49,617,415,SV,W,N,M,G,0,1572,1572_SV_W_M_G_0_35.jpg
36,L1139F00045C01S01572Rp03555.jpg,16,16,607,420,SV,W,N,M,DR,30,1572,1572_SV_W_M_DR_30_36.jpg
37,L1139F00045C01S01572Rp05743.jpg,14,54,610,375,SV,W,N,M,DR,80,1572,1572_SV_W_M_DR_80_37.jpg
38,L426F01753C01S01575Rp02614.jpg,8,218,511,246,SV,W,N,V,WD,10,1575,1575_SV_W_V_WD_10_38.jpg
39,L426F01753C01S01575Rp08501.jpg,29,80,566,382,SV,W,N,V,WD,10,1575,1575_SV_W_V_WD_10_39.jpg
40,L426F01753C01S01575Rp13520.jpg,192,20,399,453,SV,W,N,M,DR,70,1575,1575_SV_W_M_DR_70_40.jpg
41,L1133F00345C01S01576Ip.jpg,19,153,604,317,SV,W,N,F,G,0,1576,1576_SV_W_F_G_0_41.jpg
42,L1133F00345C01S01576Rp00323.jpg,6,36,621,390,SV,W,N,F,WD,10,1576,1576_SV_W_F_WD_10_42.jpg
43,L1133F00345C01S01576Rp00324.jpg,23,154,606,272,SV,W,N,F,DR,10,1576,1576_SV_W_F_DR_10_43.jpg
44,L1133F00345C01S01576Rp03161.jpg,15,4,614,309,SV,W,N,M,DR,70,1576,1576_SV_W_M_DR_70_44.jpg
45,L1133F00345C01S01576Rp06829.jpg,10,56,618,286,SV,W,N,M,DR,90,1576,1576_SV_W_M_DR_90_45.jpg
46,L142F00096C01S01579Rp01129.jpg,16,59,605,410,SV,W,N,V,WD,10,1579,1579_SV_W_V_WD_10_46.jpg
47,L142F00096C01S01579Rp02374.jpg,11,122,604,350,SV,W,N,V,WD,20,1579,1579_SV_W_V_WD_20_47.jpg
48,L142F00096C01S01579Rp07804.jpg,15,164,608,303,SV,W,N,F,WD,10,1579,1579_SV_W_F_WD_10_48.jpg
49,L142F00096C01S01579Rp12228.jpg,26,81,597,380,SV,W,N,F,WD,20,1579,1579_SV_W_F_WD_20_49.jpg
50,L1139F02981C01S01586Ip.jpg,9,51,609,407,SV,W,N,F,G,0,1586,1586_SV_W_F_G_0_50.jpg
51,L1139F02981C01S01586Rp00282.jpg,18,29,601,431,SV,W,N,F,DR,10,1586,1586_SV_W_F_DR_10_51.jpg
52,L1139F02981C01S01586Rp00949.jpg,21,11,604,457,SV,W,N,M,WD,10,1586,1586_SV_W_M_WD_10_52.jpg
53,L1139F02981C01S01586Rp02126.jpg,8,20,611,435,SV,W,N,F,DR,10,1586,1586_SV_W_F_DR_10_53.jpg
54,L1139F02981C01S01586Rp03573.jpg,12,60,605,397,SV,W,N,M,DR,90,1586,1586_SV_W_M_DR_90_54.jpg
55,L1139F00290C01S01589Ip.jpg,23,38,595,418,SV,W,N,F,WD,10,1589,1589_SV_W_F_WD_10_55.jpg
56,L1139F00290C01S01589Rp00286.jpg,34,36,593,414,SV,W,N,F,WD,10,1589,1589_SV_W_F_WD_10_56.jpg
57,L1139F00290C01S01589Rp00950.jpg,17,7,600,450,SV,W,N,F,WD,10,1589,1589_SV_W_F_WD_10_57.jpg
58,L1139F00290C01S01589Rp02125.jpg,13,4,607,412,SV,W,N,M,WD,10,1589,1589_SV_W_M_WD_10_58.jpg
59,L1139F00290C01S01589Rp02382.jpg,15,9,607,355,SV,W,N,F,WD,10,1589,1589_SV_W_F_WD_10_59.jpg
60,L1139F00290C01S01589Rp04161.jpg,21,2,609,396,SV,W,N,M,DR,20,1589,1589_SV_W_M_DR_20_60.jpg
61,L1139F00290C01S01589Rp05729.jpg,21,26,611,340,SV,W,N,M,DR,20,1589,1589_SV_W_M_DR_20_61.jpg
62,L1139F00473C01S01590Ip.jpg,22,42,599,402,SV,W,N,F,WD,10,1590,1590_SV_W_F_WD_10_62.jpg
63,L1139F00473C01S01590Rp00283.jpg,23,0,596,458,SV,W,N,F,WD,10,1590,1590_SV_W_F_WD_10_63.jpg
64,L1139F00473C01S01590Rp00947.jpg,27,20,595,438,SV,W,N,F,WD,10,1590,1590_SV_W_F_WD_10_64.jpg
65,L1139F00473C01S01590Rp02128.jpg,83,17,532,449,SV,W,N,M,DR,10,1590,1590_SV_W_M_DR_10_65.jpg
66,L429F03239C01S01591Ip.jpg,34,186,455,279,SV,W,N,S,G,0,1591,1591_SV_W_S_G_0_66.jpg
67,L429F03239C01S01591Rp00254.jpg,22,186,493,183,SV,W,N,V,WD,10,1591,1591_SV_W_V_WD_10_67.jpg
68,L429F03239C01S01591Rp03379.jpg,40,180,530,270,SV,W,N,V,WD,20,1591,1591_SV_W_V_WD_20_68.jpg
69,L429F03239C01S01591Rp05567.jpg,3,178,548,184,SV,W,N,V,WD,40,1591,1591_SV_W_V_WD_40_69.jpg
70,L429F03239C01S01591Rp07137.jpg,33,158,559,303,SV,W,N,V,WD,40,1591,1591_SV_W_V_WD_40_70.jpg
71,L429F03239C01S01591Rp10206.jpg,15,72,621,363,SV,W,N,M,WD,10,1591,1591_SV_W_M_WD_10_71.jpg
72,L429F03239C01S01591Rp11672.jpg,22,115,593,338,SV,W,N,M,WD,20,1591,1591_SV_W_M_WD_20_72.jpg
73,L429F03239C01S01591Rp12862.jpg,1,68,601,226,SV,W,N,M,DR,40,1591,1591_SV_W_M_DR_40_73.jpg
74,L429F03239C01S01591Rp13499.jpg,7,115,606,184,SV,W,N,M,DR,30,1591,1591_SV_W_M_DR_30_74.jpg
75,L429F03239C01S01591Rp14654.jpg,21,75,386,355,SV,W,N,M,DR,70,1591,1591_SV_W_M_DR_70_75.jpg
76,L1139F01996C01S01592Ip.jpg,4,17,611,429,SV,W,C,F,WD,10,1592,1592_SV_W_F_WD_10_76.jpg
77,L1139F01996C01S01592Rp03567.jpg,15,12,610,444,SV,W,N,M,DR,40,1592,1592_SV_W_M_DR_40_77.jpg
78,L1139F01996C01S01592Rp03568.jpg,20,59,585,397,SV,W,N,M,DR,50,1592,1592_SV_W_M_DR_50_78.jpg
79,L342F00169C01S01593Rp04850.jpg,167,134,457,320,SV,W,N,V,WD,30,1593,1593_SV_W_V_WD_30_79.jpg
80,L342F00169C01S01593Rp12071.jpg,14,46,604,422,SV,W,N,V,WD,40,1593,1593_SV_W_V_WD_40_80.jpg
81,L342F00169C01S01593Rp12740.jpg,9,108,613,363,SV,W,N,V,WD,40,1593,1593_SV_W_V_WD_40_81.jpg
82,L342F00169C01S01593Rp13252.jpg,7,35,608,428,SV,W,N,V,WD,50,1593,1593_SV_W_V_WD_50_82.jpg
83,L342F02377C01S01594Rp03284.jpg,11,196,551,236,SV,W,N,V,WD,20,1594,1594_SV_W_V_WD_20_83.jpg
84,L342F02377C01S01594Rp04851.jpg,80,157,549,267,SV,W,N,V,WD,30,1594,1594_SV_W_V_WD_30_84.jpg
85,L342F02377C01S01594Rp06480.jpg,132,192,499,261,SV,W,N,V,WD,20,1594,1594_SV_W_V_WD_20_85.jpg
86,L342F02377C01S01594Rp07513.jpg,178,193,441,271,SV,W,N,V,WD,20,1594,1594_SV_W_V_WD_20_86.jpg
87,L342F02377C01S01594Rp08527.jpg,273,143,357,327,SV,W,N,V,WD,20,1594,1594_SV_W_V_WD_20_87.jpg
88,L342F02377C01S01594Rp09782.jpg,15,134,604,340,SV,W,N,V,WD,20,1594,1594_SV_W_V_WD_20_88.jpg
89,L342F02377C01S01594Rp11483.jpg,21,155,579,312,SV,W,N,V,WD,20,1594,1594_SV_W_V_WD_20_89.jpg
90,L342F02377C01S01594Rp12072.jpg,11,180,613,288,SV,W,N,V,WD,30,1594,1594_SV_W_V_WD_30_90.jpg
91,L342F01050C01S01595Ip.jpg,35,160,585,308,SV,W,N,V,WD,10,1595,1595_SV_W_V_WD_10_91.jpg
92,L342F01050C01S01595Rp00281.jpg,24,234,601,240,SV,W,N,V,WD,10,1595,1595_SV_W_V_WD_10_92.jpg
93,L342F01050C01S01595Rp01999.jpg,76,328,552,142,SV,W,N,V,WD,10,1595,1595_SV_W_V_WD_10_93.jpg
94,L342F01050C01S01595Rp03291.jpg,7,284,543,188,SV,W,N,V,WD,10,1595,1595_SV_W_V_WD_10_94.jpg
95,L342F01050C01S01595Rp04832.jpg,17,220,586,222,SV,W,N,V,WD,20,1595,1595_SV_W_V_WD_20_95.jpg
96,L342F01050C01S01595Rp06486.jpg,79,217,546,249,SV,W,N,V,WD,10,1595,1595_SV_W_V_WD_10_96.jpg
97,L342F01050C01S01595Rp08522.jpg,45,188,587,284,SV,W,N,F,G,0,1595,1595_SV_W_F_G_0_97.jpg
98,L342F01050C01S01595Rp09749.jpg,29,65,593,404,SV,W,N,F,WD,10,1595,1595_SV_W_F_WD_10_98.jpg
99,L342F01050C01S01595Rp11478.jpg,29,9,597,461,SV,W,N,M,WD,10,1595,1595_SV_W_M_WD_10_99.jpg
100,L342F01050C01S01595Rp12070.jpg,168,35,464,437,SV,W,N,F,WD,20,1595,1595_SV_W_F_WD_20_100.jpg
101,L342F01050C01S01595Rp12743.jpg,10,90,617,375,SV,W,N,M,WD,20,1595,1595_SV_W_M_WD_20_101.jpg
102,L342F01050C01S01595Rp14432.jpg,9,6,610,465,SV,W,N,F,WD,10,1595,1595_SV_W_F_WD_10_102.jpg
103,L342F01434C01S01596Rp03288.jpg,75,251,512,221,SV,W,N,F,WD,10,1596,1596_SV_W_F_WD_10_103.jpg
104,L342F01434C01S01596Rp04848.jpg,13,316,590,157,SV,W,N,V,WD,10,1596,1596_SV_W_V_WD_10_104.jpg
105,L342F01434C01S01596Rp06484.jpg,31,226,574,244,SV,W,N,V,G,0,1596,1596_SV_W_V_G_0_105.jpg
106,L342F01434C01S01596Rp08523.jpg,28,217,593,249,SV,W,N,F,WD,10,1596,1596_SV_W_F_WD_10_106.jpg
107,L342F01434C01S01596Rp09744.jpg,14,128,613,342,SV,W,N,F,WD,10,1596,1596_SV_W_F_WD_10_107.jpg
108,L342F01434C01S01596Rp11477.jpg,22,110,602,356,SV,W,N,F,WD,10,1596,1596_SV_W_F_WD_10_108.jpg
109,L342F01434C01S01596Rp12069.jpg,27,56,597,412,SV,W,N,F,WD,10,1596,1596_SV_W_F_WD_10_109.jpg
