,Old_name,New_name,Good,Weed,Drought,Nutri. Def.,Model
0,35_initial_1_1305_1305.JPG,1305_SV_W_V_G_0_0.jpg,0.54348207,0.30492038,0.12492678,0.026670767,Testing
1,35_repeat_2_1305_240_148.JPG,1305_SV_W_V_G_0_1.jpg,0.83531505,0.15328428,0.011265419,0.000135193,Training
2,35_repeat_2_1305_288_199.JPG,1305_SV_W_V_G_0_2.jpg,0.88802767,0.09263453,0.009487306,0.009850402,Testing
3,35_repeat_2_1305_893_570.JPG,1305_SV_W_F_G_0_3.jpg,0.9794424,0.01597697,0.001628456,0.002952062,Training
4,35_repeat_2_1305_1026_703.JPG,1305_SV_W_F_G_0_4.jpg,0.9102238,0.08931389,0.000406975,5.54E-05,Training
5,35_repeat_2_1305_1255_959.JPG,1305_SV_W_F_G_0_5.jpg,0.743948,0.20942797,0.04490954,0.001714483,Testing
6,35_repeat_2_1305_2538_1550.JPG,1305_SV_W_F_G_0_6.jpg,0.7697873,0.06520195,0.12788236,0.037128348,Training
7,35_repeat_2_1305_3190_2010.JPG,1305_SV_W_F_G_0_7.jpg,0.9735922,0.012823522,0.013459727,0.000124598,Training
8,35_repeat_2_1305_3322_2128.JPG,1305_SV_W_F_G_0_8.jpg,0.71828896,0.008494478,0.2730824,0.000134155,Testing
9,35_repeat_2_1305_3639_2381.JPG,1305_SV_W_F_G_0_9.jpg,0.21590653,0.076413654,0.38851628,0.31916356,Testing
10,35_repeat_2_1305_4456_2925.JPG,1305_SV_W_F_G_0_10.jpg,0.99338853,0.003802185,0.002807617,1.66E-06,Training
11,35_repeat_2_1305_5005_3373.JPG,1305_SV_W_F_G_0_11.jpg,0.8164913,0.028438533,0.14147072,0.013599437,Training
12,35_repeat_2_1305_5460_3844.JPG,1305_SV_W_M_DR_10_12.jpg,0.013602347,0.004893689,0.975864,0.005639955,Training
13,35_repeat_2_1305_5844_4225.JPG,1305_SV_W_M_DR_50_13.jpg,0.000488647,0.000400446,0.9965102,0.002600793,Training
14,35_repeat_2_1305_6097_4468.JPG,1305_SV_W_M_DR_70_14.jpg,0.000190358,0.000424791,0.99679095,0.002593826,Testing
15,35_repeat_2_1305_6246_4614.JPG,1305_SV_W_M_DR_70_15.jpg,0.000480285,0.002065493,0.99653745,0.000916733,Training
16,101_initial_1_1309_1309.JPG,1309_SV_W_V_G_0_16.jpg,0.9261102,0.06628764,0.006679172,0.000923011,Training
17,101_repeat_2_1309_295_209.JPG,1309_SV_W_V_G_0_17.jpg,0.9976751,0.002161753,0.000153761,9.39E-06,Training
18,101_repeat_2_1309_407_282.JPG,1309_SV_W_V_G_0_18.jpg,0.99987066,9.77E-05,2.71E-05,4.48E-06,Testing
19,101_repeat_2_1309_415_287.JPG,1309_SV_W_V_G_0_19.jpg,0.7681569,0.23159954,0.000241394,2.21E-06,Testing
20,101_repeat_2_1309_1064_744.JPG,1309_SV_W_F_G_0_20.jpg,0.62656206,0.3731999,0.000231591,6.43E-06,Testing
21,101_repeat_2_1309_1068_746.JPG,1309_SV_W_M_G_0_21.jpg,0.8332381,0.11681732,0.04993791,6.71E-06,Training
22,101_repeat_2_1309_1087_777.JPG,1309_SV_W_F_G_0_22.jpg,0.87860024,0.115256615,0.006120491,2.26E-05,Testing
23,101_repeat_2_1309_1689_1259.JPG,1309_SV_W_F_G_0_23.jpg,0.9868161,0.007389998,0.005788142,5.79E-06,Training
24,101_repeat_2_1309_3529_2268.JPG,1309_SV_W_F_G_0_24.jpg,0.87132055,0.062390756,0.06412779,0.002160857,Testing
25,101_repeat_2_1309_4760_3132.JPG,1309_SV_W_F_G_0_25.jpg,0.9420821,0.045283657,0.012379396,0.000254753,Training
26,101_repeat_2_1309_5365_3739.JPG,1309_SV_W_M_DR_10_26.jpg,0.037353687,0.002521155,0.9408572,0.019268025,Training
27,101_initial_1_1310_1310.JPG,1310_SV_W_V_G_0_27.jpg,0.941844,0.058142174,9.40E-06,4.44E-06,Testing
28,101_repeat_2_1310_98_62.JPG,1310_SV_W_V_G_0_28.jpg,0.83445513,0.1603348,0.005068658,0.000141446,Testing
29,101_repeat_2_1310_99_63.JPG,1310_SV_W_V_G_0_29.jpg,0.47328186,0.52568996,0.000297858,0.000730316,Testing
30,101_repeat_2_1310_100_64.JPG,1310_SV_W_V_G_0_30.jpg,0.98846406,0.011071064,0.000132203,0.000332676,Testing
31,101_repeat_2_1310_102_66.JPG,1310_SV_W_V_G_0_31.jpg,0.93036,0.06921419,0.00041888,6.94E-06,Testing
32,101_repeat_2_1310_112_67.JPG,1310_SV_W_V_G_0_32.jpg,0.83746034,0.16007414,0.002236901,0.000228651,Testing
33,101_repeat_2_1310_297_211.JPG,1310_SV_W_V_G_0_33.jpg,0.94594306,0.052809518,0.000186082,0.001061331,Training
34,101_repeat_2_1310_405_280.JPG,1310_SV_W_V_G_0_34.jpg,0.9893379,0.010486002,6.45E-05,0.000111628,Testing
35,101_repeat_2_1310_418_290.JPG,1310_SV_W_F_G_0_35.jpg,0.9875416,0.00958521,0.001247553,0.001625659,Testing
36,101_repeat_2_1310_1063_743.JPG,1310_SV_W_F_G_0_36.jpg,0.20916466,0.7873984,0.000953931,0.002482915,Testing
37,101_repeat_2_1310_1067_745.JPG,1310_SV_W_F_G_0_37.jpg,0.41717294,0.46108672,0.121714525,2.58E-05,Training
38,101_repeat_2_1310_1089_781.JPG,1310_SV_W_F_G_0_38.jpg,0.8022909,0.07654258,0.11889208,0.00227445,Testing
39,101_repeat_2_1310_1690_1260.JPG,1310_SV_W_F_G_0_39.jpg,0.42885894,0.32957497,0.24012412,0.001442004,Training
40,101_repeat_2_1310_2757_1728.JPG,1310_SV_W_F_G_0_40.jpg,0.9229014,0.03203928,0.044635106,0.000424278,Training
