,Old_name,New_name,No_Drought,Drought,Model
0,35_initial_1_1305_1305.JPG,1305_SV_W_V_G_0_0.jpg,0.9356338,0.06436623,Testing
1,35_repeat_2_1305_240_148.JPG,1305_SV_W_V_G_0_1.jpg,0.9892022,0.010797771,Testing
2,35_repeat_2_1305_288_199.JPG,1305_SV_W_V_G_0_2.jpg,0.9795956,0.020404387,Testing
3,35_repeat_2_1305_893_570.JPG,1305_SV_W_F_G_0_3.jpg,0.99756193,0.002438065,Training
4,35_repeat_2_1305_1026_703.JPG,1305_SV_W_F_G_0_4.jpg,0.999908,9.20E-05,Training
5,35_repeat_2_1305_1255_959.JPG,1305_SV_W_F_G_0_5.jpg,0.96906686,0.030933134,Training
6,35_repeat_2_1305_2538_1550.JPG,1305_SV_W_F_G_0_6.jpg,0.9533664,0.04663361,Training
7,35_repeat_2_1305_3190_2010.JPG,1305_SV_W_F_G_0_7.jpg,0.82921374,0.17078623,Training
8,35_repeat_2_1305_3322_2128.JPG,1305_SV_W_F_G_0_8.jpg,0.51397914,0.48602086,Testing
9,35_repeat_2_1305_3639_2381.JPG,1305_SV_W_F_G_0_9.jpg,0.7534659,0.2465341,Testing
10,35_repeat_2_1305_4456_2925.JPG,1305_SV_W_F_G_0_10.jpg,0.975904,0.024096064,Testing
11,35_repeat_2_1305_5005_3373.JPG,1305_SV_W_F_G_0_11.jpg,0.6699043,0.3300957,Training
12,35_repeat_2_1305_5460_3844.JPG,1305_SV_W_M_DR_10_12.jpg,0.8147235,0.18527651,Testing
13,35_repeat_2_1305_5844_4225.JPG,1305_SV_W_M_DR_50_13.jpg,0.006448723,0.99355125,Training
14,35_repeat_2_1305_6097_4468.JPG,1305_SV_W_M_DR_70_14.jpg,0.030246703,0.96975327,Testing
15,35_repeat_2_1305_6246_4614.JPG,1305_SV_W_M_DR_70_15.jpg,0.011721158,0.98827887,Testing
16,101_initial_1_1309_1309.JPG,1309_SV_W_V_G_0_16.jpg,0.9898783,0.010121685,Testing
